Tag 'synth_adsr.c' range is 0x8004F394 - 0x8004FA47
Tag 'osalloc.c' range is 0x800080B8 - 0x800087C3
[!] Function 0x8000D3B3 'osGetCurrentThread' has multiple file tags: set(['osthread.c', 'OSThread.c'])
[!] Function 0x8000D3BF 'FUN_8000d3bc' has multiple file tags: set(['osthread.c', 'OSThread.c'])
[!] Function 0x8000D3FF '__OSIsThreadActive' has multiple file tags: set(['osthread.c', 'OSThread.c'])
[!] Function 0x8000D4DB 'osThreadFn_8000d4d8' has multiple file tags: set(['osthread.c', 'OSThread.c'])
[!] Function 0x8000D5EB 'osThreadFn_8000d5e8' has multiple file tags: set(['osthread.c', 'OSThread.c'])
[!] Function 0x8000D707 '__OSGetEffectivePriority' has multiple file tags: set(['osthread.c', 'OSThread.c'])
[!] Function 0x8000D753 'SetEffectivePriority' has multiple file tags: set(['osthread.c', 'OSThread.c'])
[!] Function 0x8000D917 'osThreadFn_8000d914' has multiple file tags: set(['osthread.c', 'OSThread.c'])
[!] Function 0x8000D97B 'osThreadFn_8000d978' has multiple file tags: set(['osthread.c', 'OSThread.c'])
[!] Function 0x8000DB97 'OSCreateThread' has multiple file tags: set(['osthread.c', 'OSThread.c'])
[!] Function 0x8000DD33 'OSExitThread' has multiple file tags: set(['osthread.c', 'OSThread.c'])
[!] Function 0x8000DE67 'OSResumeThread' has multiple file tags: set(['osthread.c', 'OSThread.c'])
[!] Function 0x8000E07F 'OSSuspendThread' has multiple file tags: set(['osthread.c', 'OSThread.c'])
[!] Function 0x8000E22F 'OSSleepThread' has multiple file tags: set(['osthread.c', 'OSThread.c'])
[!] Function 0x8000E3A3 'osThreadFn_8000e3a0' has multiple file tags: set(['osthread.c', 'OSThread.c'])
Tag 'mtx44.c' range is 0x8000FA60 - 0x8000FD57
Tag 'gxgeometry.802df790.h' range is 0x8003B020 - 0x8003B020
Tag 'cardstat.c' range is 0x80040DC8 - 0x80040DC8
Tag 'objprint.c' range is 0x80094B10 - 0x8009619F
Tag 'seq.c' range is 0x80041284 - 0x80046ECB
[!] Function 0x80043A97 'seqInit' has multiple file tags: set(['snd_init.c', 'seq.c'])
[!] Function 0x80043BB7 'synthSetBpm' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80043BF7 'synthGetTicksPerSecond' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80043C33 'apply_portamento' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80043D07 'synthInitPortamento' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80043DE3 'do_voice_portamento' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x8004400B 'check_portamento' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x8004407F 'StartLayer' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x8004448B 'StartKeymap' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x800446DF 'synthStartSound' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80044897 'convert_cents' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x800448FF 'UpdateTimeMIDICtrl' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x8004491F 'LowPrecisionHandler' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80045097 'ZeroOffsetHandler' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x8004576F 'EventHandler' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x8004591F 'synthInitJobQueue' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80045997 'synthAddJob' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80045B13 'synthStartSynthJobHandling' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80045B7B 'synthForceLowPrecisionUpdate' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80045BC3 'synthKeyStateUpdate' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80045BF3 'HandleJobQueue' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80045C57 'HandleVoices' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80045CCF 'HandleFaderTermination' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80045D47 'synthHandle' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80045FD3 'synthFXStart' has multiple file tags: set(['seq.c', 'synth.c'])
